calendar_year,p1_1stserve_pwon,p1_1stserve_success,p1_2ndserve_pwon,p1_aces,p1_breakpoints_won,p1_doublefaults,p1_max_games_row,p1_max_points_row,p1_servgames_won,p1_tiebreaks_won,p1_total_games_won,p1_total_points_won,p2_1stserve_pwon,p2_1stserve_success,p2_2ndserve_pwon,p2_aces,p2_breakpoints_won,p2_doublefaults,p2_max_games_row,p2_max_points_row,p2_servgames_won,p2_tiebreaks_won,p2_total_games_won,p2_total_points_won,player1_1st_set,player1_2nd_set,player1_3rd_set,player1_4th_set,player1_5th_set,player1_country,player1_name,player1_seed,player1_surname,player1_total_sets,player2_1st_set,player2_2nd_set,player2_3rd_set,player2_4th_set,player2_5th_set,player2_country,player2_name,player2_seed,player2_surname,player2_total_sets,tournament,tournament_phase
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0,0,0,ITA,Thomas,Seeded:&nbsp11,Fabbiano,,7,6,0,0,0,AUS,Aleksandar,&nbsp,Vukic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,5,0,0,0,CHN,Zhe,&nbsp,Li,,6,3,0,0,0,ISR,Dudi,Seeded:&nbsp28,Sela,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,USA,Denis,Seeded:&nbsp7,Kudla,,6,3,0,0,0,AUS,Bernard,&nbsp,Tomic,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,0,0,NLD,Botic,&nbsp,Van de Zandschulp,,6,1,7,0,0,FRA,Constant,&nbsp,Lestienne,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,0,0,ARG,Federico,Seeded:&nbsp15,Coria,,6,4,1,0,0,IND,Ramkumar,&nbsp,Ramanathan,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,4,6,3,0,0,ITA,Matteo,&nbsp,Viola,,6,3,1,0,0,DEU,Nicola,&nbsp,Kuhn,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,DEU,Peter,Seeded:&nbsp16,Gojowczyk,,4,2,0,0,0,BRA,Thiago,&nbsp,Seyboth Wild,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,3,0,0,ESP,Bernabe,&nbsp,Zapata Miralles,,7,2,6,0,0,CHL,Alejandro,&nbsp,Tabilo,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,LVA,Ernests,&nbsp,Gulbis,,3,3,0,0,0,USA,Maxime,&nbsp,Cressy,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,0,0,AUS,Blake,&nbsp,Mott,,3,4,0,0,0,PRT,Pedro,Seeded:&nbsp27,Sousa,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,0,0,DEU,Matthias,&nbsp,Bachinger,,5,5,0,0,0,AUS,Jason,&nbsp,Kubler,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,0,0,ESP,Carlos,&nbsp,Taberner,,7,6,0,0,0,DEU,Yannick,&nbsp,Hanfmann,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,7,1,0,0,FRA,Antoine,Seeded:&nbsp14,Hoang,,7,6,6,0,0,FRA,Maxime,&nbsp,Janvier,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,0,0,UKR,Sergiy,&nbsp,Stakhovsky,,6,4,0,0,0,SVN,Blaz,Seeded:&nbsp31,Rola,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,0,0,AUS,Harry,&nbsp,Bourchier,,6,6,0,0,0,IND,Prajnesh,Seeded:&nbsp17,Gunneswaran,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,0,0,JPN,Hiroki,&nbsp,Moriya,,6,5,0,0,0,USA,Noah,&nbsp,Rubin,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,BRB,Darian,&nbsp,King,,6,6,0,0,0,CAN,Steven,Seeded:&nbsp23,Diez,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,0,0,CAN,Brayden,Seeded:&nbsp3,Schnur,,6,3,4,0,0,AUT,Sebastian,&nbsp,Ofner,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,ITA,Federico,&nbsp,Gaio,,7,6,0,0,0,BEL,Kimmer,&nbsp,Coppejans,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,0,0,USA,Ernesto,&nbsp,Escobedo,,6,6,6,0,0,USA,Mitchell,&nbsp,Krueger,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,0,0,FRA,Quentin,&nbsp,Halys,,3,6,0,0,0,AUS,Akira,&nbsp,Santillan,,,Qualification
2022,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,0,0,KOR,Duckhee,&nbsp,Lee,,6,5,6,0,0,ITA,Alessandro,Seeded:&nbsp32,Giannessi,,,Qualification
